genus,specimen_id,coord_id,x,y
AN,1,0,-0.4933,0.013
AN,1,1,-0.0777,0.0832
AN,1,2,0.2231,0.0861
AN,1,3,0.2641,0.0462
AN,1,4,0.2645,0.0261
AN,1,5,0.2471,0.0003
AN,1,6,0.2311,-0.0228
AN,1,7,0.204,-0.0452
AN,1,8,0.1282,-0.0742
AN,1,9,0.0424,-0.0966
AN,1,10,-0.0674,-0.1108
AN,1,11,-0.4102,-0.0163
AN,1,12,-0.314,0.0318
AN,1,13,-0.1768,0.0341
AN,1,14,0.0715,0.0509
AN,1,15,-0.054,0.0238
AN,1,16,0.0575,-0.0059
AN,1,17,-0.1401,-0.024
AN,2,0,-0.4814,0.0135
AN,2,1,-0.0058,0.078
AN,2,2,0.2345,0.0644
AN,2,3,0.246,0.0467
AN,2,4,0.2487,0.0281
AN,2,5,0.243,0.0115
AN,2,6,0.2316,-0.0039
AN,2,7,0.1956,-0.0305
AN,2,8,0.1462,-0.0545
AN,2,9,0.0483,-0.0866
AN,2,10,-0.052,-0.1047
AN,2,11,-0.4016,-0.025
AN,2,12,-0.3868,0.0166
AN,2,13,-0.1808,0.0229
AN,2,14,0.0484,0.0405
AN,2,15,-0.0519,0.0164
AN,2,16,0.0623,-0.0047
AN,2,17,-0.1444,-0.0286
AN,3,0,-0.4622,0.0159
AN,3,1,0.0089,0.0689
AN,3,2,0.2404,0.0545
AN,3,3,0.2501,0.0424
AN,3,4,0.26,0.023
AN,3,5,0.2541,0.0039
AN,3,6,0.2369,-0.0105
AN,3,7,0.1957,-0.0305
AN,3,8,0.1249,-0.048
AN,3,9,0.0146,-0.072
AN,3,10,-0.0758,-0.0865
AN,3,11,-0.4104,-0.02
AN,3,12,-0.3919,0.019
AN,3,13,-0.1724,0.0182
AN,3,14,0.0577,0.0344
AN,3,15,-0.0468,0.0115
AN,3,16,0.0766,-0.0079
AN,3,17,-0.1602,-0.0162
AN,4,0,-0.4534,-0.0028
AN,4,1,-0.0318,0.0738
AN,4,2,0.2423,0.0808
AN,4,3,0.2627,0.0559
AN,4,4,0.2654,0.0322
AN,4,5,0.2579,0.0143
AN,4,6,0.2426,0.0018
AN,4,7,0.1851,-0.0313
AN,4,8,0.1191,-0.0581
AN,4,9,0.0203,-0.0847
AN,4,10,-0.0919,-0.0957
AN,4,11,-0.3862,-0.0289
AN,4,12,-0.4051,-0.0072
AN,4,13,-0.1536,0.015
AN,4,14,0.0617,0.0436
AN,4,15,-0.0549,0.0217
AN,4,16,0.0705,-0.0031
AN,4,17,-0.1507,-0.0273
AN,5,0,-0.4926,-0.0212
AN,5,1,-0.026,0.0708
AN,5,2,0.2347,0.0679
AN,5,3,0.2398,0.0584
AN,5,4,0.2415,0.0355
AN,5,5,0.2337,0.0187
AN,5,6,0.2163,0.001
AN,5,7,0.192,-0.0171
AN,5,8,0.1271,-0.0443
AN,5,9,0.0427,-0.0699
AN,5,10,-0.0516,-0.1016
AN,5,11,-0.4242,-0.0505
AN,5,12,-0.397,-0.0018
AN,5,13,-0.1374,0.0154
AN,5,14,0.0762,0.0457
AN,5,15,-0.0313,0.017
AN,5,16,0.088,0.0037
AN,5,17,-0.1318,-0.0278
AN,6,0,-0.4614,0.0567
AN,6,1,-0.0091,0.0684
AN,6,2,0.2335,0.0345
AN,6,3,0.2499,0.0171
AN,6,4,0.2553,-0.0019
AN,6,5,0.2522,-0.0176
AN,6,6,0.2383,-0.0356
AN,6,7,0.203,-0.0524
AN,6,8,0.1296,-0.0691
AN,6,9,0.0155,-0.0785
AN,6,10,-0.0965,-0.0805
AN,6,11,-0.4053,0.0196
AN,6,12,-0.3907,0.0522
AN,6,13,-0.1607,0.0403
AN,6,14,0.0703,0.0371
AN,6,15,-0.0577,0.0258
AN,6,16,0.0801,-0.0118
AN,6,17,-0.1463,-0.0042
AN,7,0,-0.4742,-0.0161
AN,7,1,-0.0633,0.0656
AN,7,2,0.2206,0.0937
AN,7,3,0.249,0.072
AN,7,4,0.2576,0.0483
AN,7,5,0.2512,0.0232
AN,7,6,0.2388,0.0116
AN,7,7,0.1871,-0.0273
AN,7,8,0.1484,-0.0449
AN,7,9,0.023,-0.0882
AN,7,10,-0.0575,-0.1054
AN,7,11,-0.3916,-0.0478
AN,7,12,-0.3805,-0.0085
AN,7,13,-0.1604,0.0119
AN,7,14,0.0647,0.047
AN,7,15,-0.0449,0.0135
AN,7,16,0.0903,-0.0072
AN,7,17,-0.1585,-0.0414
AN,8,0,-0.4698,0.0224
AN,8,1,0.0525,0.0771
AN,8,2,0.245,0.0501
AN,8,3,0.2603,0.0333
AN,8,4,0.2587,0.0166
AN,8,5,0.2552,0.0071
AN,8,6,0.2373,-0.0083
AN,8,7,0.1808,-0.0319
AN,8,8,0.1008,-0.0546
AN,8,9,0.0155,-0.0807
AN,8,10,-0.0922,-0.0907
AN,8,11,-0.4082,-0.0124
AN,8,12,-0.3919,0.0228
AN,8,13,-0.1604,0.0248
AN,8,14,0.0494,0.0383
AN,8,15,-0.0575,0.016
AN,8,16,0.066,-0.0107
AN,8,17,-0.1416,-0.0192
AN,9,0,-0.4652,-0.011
AN,9,1,-0.0017,0.0759
AN,9,2,0.2246,0.0759
AN,9,3,0.2405,0.0587
AN,9,4,0.25,0.0443
AN,9,5,0.2509,0.0258
AN,9,6,0.2406,0.0057
AN,9,7,0.2009,-0.0214
AN,9,8,0.1389,-0.0475
AN,9,9,0.0284,-0.079
AN,9,10,-0.045,-0.0979
AN,9,11,-0.3999,-0.0458
AN,9,12,-0.3968,-0.0077
AN,9,13,-0.1886,0.009
AN,9,14,0.0561,0.0424
AN,9,15,-0.0683,0.0081
AN,9,16,0.0793,-0.0046
AN,9,17,-0.1449,-0.0309
AN,10,0,-0.4496,0.0335
AN,10,1,0.0012,0.0701
AN,10,2,0.2502,0.0412
AN,10,3,0.2591,0.0249
AN,10,4,0.2598,0.0083
AN,10,5,0.254,-0.0054
AN,10,6,0.2376,-0.0184
AN,10,7,0.1914,-0.0377
AN,10,8,0.1255,-0.0551
AN,10,9,0.0201,-0.0796
AN,10,10,-0.0594,-0.0904
AN,10,11,-0.4083,-0.0007
AN,10,12,-0.3931,0.0279
AN,10,13,-0.1805,0.0303
AN,10,14,0.052,0.0405
AN,10,15,-0.0622,0.0241
AN,10,16,0.0662,-0.0066
AN,10,17,-0.164,-0.007
AN,11,0,-0.4586,0.0314
AN,11,1,-0.004,0.0707
AN,11,2,0.2412,0.0445
AN,11,3,0.2514,0.0284
AN,11,4,0.2543,0.014
AN,11,5,0.2504,-0.0032
AN,11,6,0.233,-0.0248
AN,11,7,0.1846,-0.0433
AN,11,8,0.1228,-0.0565
AN,11,9,0.0319,-0.0713
AN,11,10,-0.0718,-0.0806
AN,11,11,-0.4071,-0.005
AN,11,12,-0.3992,0.0249
AN,11,13,-0.1819,0.0293
AN,11,14,0.0809,0.0402
AN,11,15,-0.0575,0.0224
AN,11,16,0.0888,-0.0103
AN,11,17,-0.1592,-0.0105
TO,12,0,-0.4577,0.0257
TO,12,1,-0.0119,0.0557
TO,12,2,0.2215,0.0519
TO,12,3,0.2416,0.0411
TO,12,4,0.251,0.0217
TO,12,5,0.2488,0.0035
TO,12,6,0.2333,-0.0147
TO,12,7,0.1951,-0.0385
TO,12,8,0.1154,-0.058
TO,12,9,0.0081,-0.071
TO,12,10,-0.0986,-0.0839
TO,12,11,-0.4056,0.0
TO,12,12,-0.3814,0.0248
TO,12,13,-0.1579,0.0201
TO,12,14,0.163,0.0365
TO,12,15,-0.0686,0.0122
TO,12,16,0.0985,-0.0115
TO,12,17,-0.1947,-0.0157
WY,13,0,-0.4704,0.0144
WY,13,1,0.012,0.0897
WY,13,2,0.2333,0.0707
WY,13,3,0.2545,0.0505
WY,13,4,0.2624,0.0302
WY,13,5,0.2601,0.007
WY,13,6,0.2429,-0.0154
WY,13,7,0.2026,-0.0363
WY,13,8,0.1108,-0.0668
WY,13,9,0.0149,-0.0885
WY,13,10,-0.1081,-0.1035
WY,13,11,-0.4161,-0.0288
WY,13,12,-0.3559,0.0268
WY,13,13,-0.1632,0.0253
WY,13,14,0.0432,0.0414
WY,13,15,-0.0244,0.0162
WY,13,16,0.0478,-0.0092
WY,13,17,-0.1462,-0.0237
WY,14,0,-0.4693,-0.0651
WY,14,1,0.0093,0.0766
WY,14,2,0.2223,0.0934
WY,14,3,0.2417,0.0771
WY,14,4,0.2472,0.055
WY,14,5,0.2427,0.042
WY,14,6,0.2263,0.0193
WY,14,7,0.1913,-0.0059
WY,14,8,0.1359,-0.0363
WY,14,9,0.0587,-0.0694
WY,14,10,-0.0426,-0.0967
WY,14,11,-0.4065,-0.0824
WY,14,12,-0.4097,-0.0476
WY,14,13,-0.1541,0.0086
