sp,coord_id,x,y
1,0,0.99973,0.0
1,1,0.81881,0.05151
1,2,0.70063,0.08851
1,3,0.61179,0.1167
1,4,0.53226,0.13666
1,5,0.47437,0.15413
1,6,0.4271,0.1691
1,7,0.38491,0.18113
1,8,0.35269,0.1939
1,9,0.32023,0.20323
1,10,0.29303,0.2129
1,11,0.26636,0.22035
1,12,0.24265,0.22786
1,13,0.21966,0.23392
1,14,0.19907,0.24063
1,15,0.17969,0.24732
1,16,0.16107,0.25381
1,17,0.14227,0.2588
1,18,0.1241,0.26372
1,19,0.1059,0.26748
1,20,0.08843,0.27217
1,21,0.07169,0.2792
1,22,0.05419,0.28407
1,23,0.03644,0.28841
1,24,0.01843,0.29286
1,25,0.0,0.29976
1,26,-0.01921,0.30538
1,27,-0.0394,0.3119
1,28,-0.06073,0.31835
1,29,-0.08344,0.32497
1,30,-0.10729,0.33021
1,31,-0.13438,0.3394
1,32,-0.1643,0.34915
1,33,-0.19894,0.36187
1,34,-0.23446,0.36945
1,35,-0.27732,0.3817
1,36,-0.32942,0.3982
1,37,-0.38702,0.41214
1,38,-0.46412,0.43584
1,39,-0.55889,0.46235
1,40,-0.68121,0.49493
1,41,-0.80086,0.50824
1,42,-0.93079,0.51171
1,43,-1.03158,0.48543
1,44,-1.11159,0.44011
1,45,-1.13416,0.36851
1,46,-1.12492,0.28883
1,47,-1.08468,0.20692
1,48,-1.02563,0.12957
1,49,-0.93459,0.0588
1,50,-0.83504,0.0
1,51,-0.73907,-0.0465
1,52,-0.66236,-0.08367
1,53,-0.594,-0.11331
1,54,-0.53546,-0.13748
1,55,-0.48074,-0.1562
1,56,-0.42815,-0.16952
1,57,-0.38798,-0.18257
1,58,-0.34947,-0.19212
1,59,-0.31649,-0.20085
1,60,-0.28463,-0.2068
1,61,-0.25968,-0.21482
1,62,-0.2355,-0.22115
1,63,-0.21301,-0.22683
1,64,-0.19222,-0.23235
1,65,-0.17209,-0.23686
1,66,-0.15304,-0.24115
1,67,-0.13473,-0.24508
1,68,-0.11715,-0.24895
1,69,-0.10038,-0.25354
1,70,-0.08386,-0.25809
1,71,-0.06718,-0.26165
1,72,-0.05073,-0.26591
1,73,-0.03406,-0.2696
1,74,-0.01722,-0.27366
1,75,0.0,-0.27665
1,76,0.0176,-0.27968
1,77,0.03584,-0.28373
1,78,0.05484,-0.2875
1,79,0.07495,-0.2919
1,80,0.09619,-0.29603
1,81,0.11865,-0.29967
1,82,0.14229,-0.30238
1,83,0.1674,-0.30451
1,84,0.19539,-0.30789
1,85,0.22554,-0.31043
1,86,0.25937,-0.31353
1,87,0.29547,-0.31464
1,88,0.33437,-0.314
1,89,0.37952,-0.31397
1,90,0.42962,-0.31214
1,91,0.4858,-0.3083
1,92,0.55065,-0.30273
1,93,0.615,-0.2894
1,94,0.67309,-0.2665
1,95,0.72743,-0.23636
1,96,0.76861,-0.19735
1,97,0.77254,-0.14737
1,98,0.94721,-0.11966
1,99,0.98675,-0.06208
2,0,0.9884,0.0
2,1,0.86231,0.05425
2,2,0.75124,0.0949
2,3,0.65762,0.12545
2,4,0.57455,0.14752
2,5,0.51443,0.16715
2,6,0.45794,0.18131
2,7,0.41627,0.19588
2,8,0.37568,0.20653
2,9,0.33769,0.21431
2,10,0.30355,0.22054
2,11,0.2772,0.22932
2,12,0.25195,0.2366
2,13,0.2294,0.24428
2,14,0.20726,0.25054
2,15,0.18533,0.25508
2,16,0.16366,0.25789
2,17,0.14562,0.26488
2,18,0.12767,0.27131
2,19,0.10956,0.27672
2,20,0.09137,0.28119
2,21,0.07344,0.28601
2,22,0.05525,0.2896
2,23,0.03756,0.2973
2,24,0.0191,0.30353
2,25,0.0,0.30897
2,26,-0.01973,0.31356
2,27,-0.04026,0.31872
2,28,-0.06208,0.32543
2,29,-0.08503,0.33116
2,30,-0.10982,0.338
2,31,-0.1373,0.34678
2,32,-0.1672,0.35532
2,33,-0.19963,0.36312
2,34,-0.23564,0.37131
2,35,-0.28053,0.38612
2,36,-0.33458,0.40444
2,37,-0.39651,0.42224
2,38,-0.47595,0.44695
2,39,-0.5734,0.47436
2,40,-0.6923,0.50299
2,41,-0.84608,0.53694
2,42,-0.98761,0.54295
2,43,-1.09022,0.51302
2,44,-1.15246,0.45629
2,45,-1.1714,0.38061
2,46,-1.1428,0.29342
2,47,-1.05762,0.20175
2,48,-0.96676,0.12213
2,49,-0.85692,0.05392
2,50,-0.7626,0.0
2,51,-0.68524,-0.04311
2,52,-0.61759,-0.07802
2,53,-0.55856,-0.10655
2,54,-0.51075,-0.13114
2,55,-0.46152,-0.14995
2,56,-0.41573,-0.1646
2,57,-0.37418,-0.17608
2,58,-0.34029,-0.18708
2,59,-0.30902,-0.19611
2,60,-0.28157,-0.20457
2,61,-0.25491,-0.21088
2,62,-0.23187,-0.21774
2,63,-0.20908,-0.22265
2,64,-0.1871,-0.22616
2,65,-0.16569,-0.22806
2,66,-0.14736,-0.2322
2,67,-0.13016,-0.23675
2,68,-0.11317,-0.2405
2,69,-0.09706,-0.24514
2,70,-0.08099,-0.24925
2,71,-0.06478,-0.25231
2,72,-0.04864,-0.25497
2,73,-0.0327,-0.25881
2,74,-0.01648,-0.26193
2,75,0.0,-0.26478
2,76,0.01688,-0.26834
2,77,0.03428,-0.27136
2,78,0.05212,-0.27325
2,79,0.07054,-0.27475
2,80,0.08967,-0.27597
2,81,0.10925,-0.27594
2,82,0.13036,-0.27704
2,83,0.15243,-0.27727
2,84,0.17692,-0.27878
2,85,0.20523,-0.28248
2,86,0.23602,-0.2853
2,87,0.26933,-0.28681
2,88,0.30512,-0.28653
2,89,0.34623,-0.28643
2,90,0.39951,-0.29027
2,91,0.44916,-0.28505
2,92,0.50685,-0.27865
2,93,0.57234,-0.26933
2,94,0.63336,-0.25077
2,95,0.68794,-0.22353
2,96,0.72819,-0.18697
2,97,0.86342,-0.16471
2,98,0.97728,-0.12346
2,99,0.97837,-0.06156
3,0,1.00718,0.0
3,1,0.81023,0.05098
3,2,0.67114,0.08479
3,3,0.57147,0.10901
3,4,0.487,0.12504
3,5,0.429,0.13939
3,6,0.3791,0.1501
3,7,0.33913,0.15958
3,8,0.30504,0.1677
3,9,0.27569,0.17496
3,10,0.24828,0.18039
3,11,0.22327,0.18471
3,12,0.20303,0.19066
3,13,0.1834,0.1953
3,14,0.16597,0.20062
3,15,0.14971,0.20606
3,16,0.13349,0.21034
3,17,0.11728,0.21333
3,18,0.10235,0.2175
3,19,0.08808,0.22246
3,20,0.07362,0.22658
3,21,0.05897,0.22967
3,22,0.04431,0.23228
3,23,0.0298,0.2359
3,24,0.01513,0.24046
3,25,0.0,0.2441
3,26,-0.01553,0.24677
3,27,-0.03183,0.25196
3,28,-0.04938,0.25887
3,29,-0.06795,0.26463
3,30,-0.0877,0.26993
3,31,-0.10845,0.27392
3,32,-0.13253,0.28164
3,33,-0.16008,0.29118
3,34,-0.18951,0.29862
3,35,-0.22391,0.30819
3,36,-0.26322,0.31818
3,37,-0.31273,0.33303
3,38,-0.37805,0.35502
3,39,-0.45723,0.37825
3,40,-0.56512,0.41058
3,41,-0.70226,0.44567
3,42,-0.8707,0.47867
3,43,-1.06485,0.50108
3,44,-1.24048,0.49114
3,45,-1.36061,0.44209
3,46,-1.39416,0.35796
3,47,-1.32132,0.25206
3,48,-1.1542,0.14581
3,49,-0.99322,0.06249
3,50,-0.83751,0.0
3,51,-0.72983,-0.04591
3,52,-0.64124,-0.08101
3,53,-0.56371,-0.10753
3,54,-0.49665,-0.12752
3,55,-0.44387,-0.14422
3,56,-0.39726,-0.15729
3,57,-0.36026,-0.16952
3,58,-0.32648,-0.17948
3,59,-0.29603,-0.18787
3,60,-0.26657,-0.19367
3,61,-0.24162,-0.19989
3,62,-0.21714,-0.2039
3,63,-0.19569,-0.20839
3,64,-0.17498,-0.21152
3,65,-0.15633,-0.21516
3,66,-0.13872,-0.21859
3,67,-0.12208,-0.22206
3,68,-0.10599,-0.22524
3,69,-0.09003,-0.22739
3,70,-0.07511,-0.23118
3,71,-0.06017,-0.23436
3,72,-0.04527,-0.23731
3,73,-0.03043,-0.24088
3,74,-0.01532,-0.24343
3,75,0.0,-0.24503
3,76,0.01555,-0.24724
3,77,0.03178,-0.25159
3,78,0.04861,-0.25485
3,79,0.06596,-0.25688
3,80,0.08388,-0.25816
3,81,0.10397,-0.26259
3,82,0.12488,-0.26539
3,83,0.14749,-0.26828
3,84,0.17182,-0.27074
3,85,0.19919,-0.27417
3,86,0.22835,-0.27603
3,87,0.2593,-0.27613
3,88,0.29885,-0.28064
3,89,0.34233,-0.2832
3,90,0.38728,-0.28138
3,91,0.44707,-0.28372
3,92,0.52367,-0.28789
3,93,0.6073,-0.28578
3,94,0.70561,-0.27937
3,95,0.77953,-0.25329
3,96,0.82029,-0.21062
3,97,0.95572,-0.18232
3,98,1.00533,-0.12701
3,99,1.0012,-0.06299
4,0,0.93569,0.0
4,1,0.77339,0.04866
4,2,0.65596,0.08287
4,3,0.55745,0.10634
4,4,0.48934,0.12564
4,5,0.42859,0.13926
4,6,0.38386,0.15198
4,7,0.34653,0.16307
4,8,0.31455,0.17293
4,9,0.28517,0.18097
4,10,0.25922,0.18833
4,11,0.23548,0.19481
4,12,0.21365,0.20063
4,13,0.19456,0.20719
4,14,0.17696,0.21391
4,15,0.15947,0.2195
4,16,0.14315,0.22557
4,17,0.12698,0.23098
4,18,0.11147,0.23688
4,19,0.09571,0.24174
4,20,0.08008,0.24647
4,21,0.06445,0.25101
4,22,0.04916,0.25771
4,23,0.03327,0.26338
4,24,0.01687,0.26814
4,25,0.0,0.27348
4,26,-0.01747,0.27764
4,27,-0.03594,0.28451
4,28,-0.05589,0.29298
4,29,-0.07701,0.29994
4,30,-0.09965,0.3067
4,31,-0.12392,0.31298
4,32,-0.15151,0.32198
4,33,-0.18355,0.33388
4,34,-0.21804,0.34357
4,35,-0.26112,0.3594
4,36,-0.3105,0.37533
4,37,-0.37487,0.3992
4,38,-0.45669,0.42887
4,39,-0.56194,0.46488
4,40,-0.71506,0.51952
4,41,-0.89116,0.56555
4,42,-1.06439,0.58516
4,43,-1.18976,0.55986
4,44,-1.27216,0.50368
4,45,-1.32144,0.42936
4,46,-1.31631,0.33797
4,47,-1.21237,0.23127
4,48,-1.08407,0.13695
4,49,-0.95736,0.06023
4,50,-0.85248,0.0
4,51,-0.73605,-0.04631
4,52,-0.65736,-0.08304
4,53,-0.58698,-0.11197
4,54,-0.52046,-0.13363
4,55,-0.45915,-0.14919
4,56,-0.41681,-0.16503
4,57,-0.37041,-0.1743
4,58,-0.33388,-0.18355
4,59,-0.30053,-0.19072
4,60,-0.27103,-0.19692
4,61,-0.24412,-0.20195
4,62,-0.22031,-0.20688
4,63,-0.1976,-0.21042
4,64,-0.1757,-0.21239
4,65,-0.15621,-0.215
4,66,-0.1376,-0.21682
4,67,-0.11936,-0.21711
4,68,-0.104,-0.22102
4,69,-0.08864,-0.22387
4,70,-0.07368,-0.22675
4,71,-0.05871,-0.22865
4,72,-0.04411,-0.23124
4,73,-0.02942,-0.2329
4,74,-0.01481,-0.23541
4,75,0.0,-0.23701
4,76,0.01504,-0.23899
4,77,0.03071,-0.24309
4,78,0.04694,-0.24605
4,79,0.06367,-0.248
4,80,0.08116,-0.24979
4,81,0.09911,-0.25033
4,82,0.11897,-0.25282
4,83,0.14074,-0.256
4,84,0.16411,-0.2586
4,85,0.18839,-0.25929
4,86,0.21553,-0.26053
4,87,0.24765,-0.26373
4,88,0.27973,-0.26269
4,89,0.3176,-0.26275
4,90,0.35924,-0.26101
4,91,0.41399,-0.26273
4,92,0.47798,-0.26277
4,93,0.54564,-0.25676
4,94,0.60896,-0.24111
4,95,0.66332,-0.21553
4,96,0.69699,-0.17896
4,97,0.71463,-0.13633
4,98,0.90447,-0.11426
4,99,0.92547,-0.05823
5,0,1.11098,0.0
5,1,0.95027,0.05979
5,2,0.80747,0.10201
5,3,0.66843,0.12751
5,4,0.571,0.14661
5,5,0.50172,0.16302
5,6,0.43851,0.17362
5,7,0.39071,0.18386
5,8,0.34571,0.19006
5,9,0.30989,0.19666
5,10,0.28135,0.20441
5,11,0.25586,0.21166
5,12,0.23143,0.21733
5,13,0.20837,0.22189
5,14,0.1861,0.22496
5,15,0.16523,0.22742
5,16,0.14717,0.2319
5,17,0.1298,0.2361
5,18,0.11324,0.24065
5,19,0.09763,0.24659
5,20,0.08178,0.2517
5,21,0.06552,0.25517
5,22,0.04915,0.25767
5,23,0.03305,0.26164
5,24,0.01674,0.26609
5,25,0.0,0.27251
5,26,-0.01747,0.27776
5,27,-0.03564,0.28214
5,28,-0.0546,0.28623
5,29,-0.07563,0.29455
5,30,-0.09709,0.29883
5,31,-0.12052,0.3044
5,32,-0.14501,0.30815
5,33,-0.1729,0.3145
5,34,-0.20372,0.32102
5,35,-0.23969,0.3299
5,36,-0.28323,0.34237
5,37,-0.33725,0.35914
5,38,-0.408,0.38314
5,39,-0.48917,0.40468
5,40,-0.59257,0.43053
5,41,-0.71678,0.45489
5,42,-0.86051,0.47307
5,43,-0.98537,0.46368
5,44,-1.06756,0.42268
5,45,-1.11715,0.36299
5,46,-1.12325,0.2884
5,47,-1.06991,0.2041
5,48,-0.98332,0.12422
5,49,-0.88169,0.05547
5,50,-0.74919,0.0
5,51,-0.65572,-0.04125
5,52,-0.58561,-0.07398
5,53,-0.52894,-0.1009
5,54,-0.48344,-0.12412
5,55,-0.43957,-0.14282
5,56,-0.40218,-0.15923
5,57,-0.3688,-0.17355
5,58,-0.34022,-0.18704
5,59,-0.31186,-0.19791
5,60,-0.28702,-0.20853
5,61,-0.2645,-0.21881
5,62,-0.24261,-0.22782
5,63,-0.22174,-0.23613
5,64,-0.20064,-0.24253
5,65,-0.17958,-0.24716
5,66,-0.15964,-0.25156
5,67,-0.14097,-0.25642
5,68,-0.1226,-0.26053
5,69,-0.10434,-0.26354
5,70,-0.08664,-0.26664
5,71,-0.06956,-0.27092
5,72,-0.05254,-0.2754
5,73,-0.03536,-0.27991
5,74,-0.01783,-0.28335
5,75,0.0,-0.28607
5,76,0.01822,-0.28961
5,77,0.03688,-0.29197
5,78,0.05616,-0.29441
5,79,0.07642,-0.29763
5,80,0.09773,-0.30078
5,81,0.12031,-0.30387
5,82,0.14369,-0.30536
5,83,0.16857,-0.30663
5,84,0.19601,-0.30886
5,85,0.22672,-0.31206
5,86,0.26208,-0.3168
5,87,0.30097,-0.3205
5,88,0.34449,-0.3235
5,89,0.39394,-0.3259
5,90,0.44471,-0.3231
5,91,0.50856,-0.32274
5,92,0.57788,-0.31769
5,93,0.65573,-0.30856
5,94,0.73952,-0.2928
5,95,0.8041,-0.26127
5,96,0.8574,-0.22015
5,97,1.00507,-0.19173
5,98,1.09128,-0.13786
5,99,1.09834,-0.06911
6,0,1.04227,0.0
6,1,0.86636,0.05451
6,2,0.71136,0.08987
6,3,0.60147,0.11474
6,4,0.51373,0.1319
6,5,0.45576,0.14809
6,6,0.40448,0.16015
6,7,0.3594,0.16912
6,8,0.32024,0.17606
6,9,0.28864,0.18318
6,10,0.26218,0.19049
6,11,0.23859,0.19738
6,12,0.2164,0.20321
6,13,0.19632,0.20906
6,14,0.17656,0.21342
6,15,0.15774,0.21712
6,16,0.14035,0.22115
6,17,0.12378,0.22516
6,18,0.10816,0.22986
6,19,0.09245,0.2335
6,20,0.07662,0.23582
6,21,0.06182,0.24078
6,22,0.04689,0.24579
6,23,0.03158,0.24996
6,24,0.01604,0.25498
6,25,0.0,0.26084
6,26,-0.01673,0.26585
6,27,-0.03416,0.27039
6,28,-0.05245,0.27493
6,29,-0.07197,0.28033
6,30,-0.09274,0.28543
6,31,-0.11609,0.29322
6,32,-0.14107,0.2998
6,33,-0.16915,0.30768
6,34,-0.20009,0.3153
6,35,-0.2388,0.32868
6,36,-0.28285,0.34191
6,37,-0.33562,0.3574
6,38,-0.39583,0.37171
6,39,-0.47242,0.39083
6,40,-0.57237,0.41585
6,41,-0.70582,0.44793
6,42,-0.86087,0.47327
6,43,-1.02968,0.48453
6,44,-1.18494,0.46915
6,45,-1.26892,0.4123
6,46,-1.29951,0.33366
6,47,-1.28154,0.24447
6,48,-1.17276,0.14816
6,49,-1.03242,0.06496
6,50,-0.88005,0.0
6,51,-0.73316,-0.04612
6,52,-0.64475,-0.08145
6,53,-0.57447,-0.10958
6,54,-0.51285,-0.13168
6,55,-0.46301,-0.15044
6,56,-0.41444,-0.16409
6,57,-0.37623,-0.17704
6,58,-0.33607,-0.18475
6,59,-0.30067,-0.19081
6,60,-0.27224,-0.19779
6,61,-0.24537,-0.20299
6,62,-0.22163,-0.20812
6,63,-0.1975,-0.21031
6,64,-0.17696,-0.21391
6,65,-0.15774,-0.21712
6,66,-0.14045,-0.22131
6,67,-0.12431,-0.22611
