specimen_id,genus,species,ref_pic,locality,formation,min_age,max_age,format,has_scale
1020_Liu_1977,Hunanolenus,Hunanolenus genalatus,Liu 1977,Hunan,Huaqiao,Paibian,Paibian,xml,True
1023_Liu_1977,Huangshiaspis,Huangshiaspis transversus,Liu 1977,Fenghuang area,Tingziguan,Jiangshanian,Jiangshanian,xml,True
AMF27749,Weania,Weania semicircularis,Vanderlaan y Ebach 2015,Glen William Road,Flagstaff,Middle Visean,Upper Visean,xml,True
AMNH_28896,Eldredgeops,Eldredgeops raNAmilleri,Burton and Eldredge 1974,NA,NA,Eifelian,NA,tps,True
AMNH_28902,Viaphacops,Viaphacops stummi,Eldredge 1973,NA,NA,Eifelian,NA,tps,True
AMNH_29104,Bouleia,Bouleia dagincourti,Eldregde 1972,Padilla,NA,Pragian,Emsian,xml,True
AMNH_29248,Trypaulites,Trypaulites calypso,Lesperance 1975,Devonian Chert,NA,Lower Devonian,Middle Devonian,xml,True
AMNH_36647,Glyptambon,Glyptambon verrucosus,Holloway 1981,Waldron Shale,Waldron Shale,Homerian,Sheinwoodian,xml,True
AMNH_44818,Kasachstania,Kasachstania gerardoi,Edgecombe and Ramskold 1994,Cochabamba Department,Catavi Formation,Lochkovian,NA,xml,True
AM_F116995,Raphiophorus,Raphiophorus sandfordi,Edgecomb Sherwin 2001,Cottons Hill Quarry,Cotton Formation,Telychian Llandovery,Telychian Llandovery,xml,True
ANU_35207,Kainops,Kainops microps,Chatterton et al 1979,Wellington Caves,Garra Formation,Lochkovian,Pragian,tps,True
AU_7482,Hadromeros,Hadromeros edgecombei,Chatterton & Ludvigsen 2004,Anticosti Island,Jupiter,Telychian,Telychian,xml,True
Alberti_1983-8.90,Plagiolaria,Plagiolaria senex,Alberti 1983,NA,NA,Pragian,NA,tps,True
Ar51664,Leonaspis,Leonaspis coronata,Ramskold 1984,Eksta parish type locality,Mulde Formation,Wenlock,NA,xml,True
Ar51757,Dudleyaspis,Dudleyaspis krausi,Ramskold 1984,Hemse,Marl beds,Ludlow,NA,xml,True
Ar55100,Wallacia,Wallacia jaanussoni,Ramsköld Edgecombe 1994,Själsö,Lower Visby Beds,Sheinwoodian,Telychian,xml,True
BGS_GSM23700,Waribole,Waribole dunhevidensis,Owens 1994,Landlake,Petherwin Formation,Famennian,NA,xml,True
BMS_E5433,Basidechenella,Basidechenella rowi,Lieberman 1994,East Bethany,Ludlowville Formation,Emsian,Givetian,xml,True
BM_It13732,Metacalymene,Metacalymene baylei,Siveter 1979,Ohrada,Kopanina,Ludfordian,Sheinwoodian,xml,True
BM_ln_53675,Australosutura,Australosutura gardneri,Amos et.al. 1960,Cerro Mina,NA,lower Mississippian,NA,xml,True
Becker-etal_2017-4d,Burtonops,Burtonops cristatus,Becker et al 2017,NA,NA,Emsian,NA,tps,True
Bonner_CEPH_Tafel_2_fig31,Acastellina,AcastelliNAsp,Basse 2003,Eifel-Mulde,Heisdorf-Schichten,Emsian,NA,xml,True
Brauckmann_1986-6.5a,Dienstina,DienstiNAdiensti,Brauckmann and Brauckmann 1986,NA,NA,Famennian,NA,tps,False
CCLP_874a,Metacryphaeus,Metacryphaeus tuberculatus,Carbonaro et al 2016,Chapada Group,Chapada Group Unit 4,Frasnian,Givetian,xml,True
CEGH-UNC_22083,Ogygiocaris,Ogygiocaris araiorhachis,Waisfeld Vaccari 2006,Quebrada Incamayo,Saladillo Formation,Tremadocian,NA,xml,True
CEGH-UNC_23.950,Maurotarion,Maurotarion gaucho,Rustán & Vaccari 2010,Loma de Los Piojos,Talacasto Formation,Emsian,Emsian,xml,True
CEGH-UNC_23413,Thysanopyge,Thysanopyge taurinus,Waisfeld Vaccari 2008,Pascha-Incamayo area,Parcha Formation,Tremadocian,NA,xml,True
CEGH-UNC_24318,Dalmanitoides,Dalmanitoides drevermanni,Rustan and Vaccari 2012,Cerro La Chilca,Talacasto Formation,Emsian,NA,xml,True
CEGH-UNC_26130,Echidnops,Echidnops taphomimus,Rustan and Balseiro 2016,NA,NA,Lochkovian,NA,tps,True
CEGH-UNC_26447,Megistaspis,Megistaspis (Ekeraspis) aff pugiocauda,Meroi 2016 (PhD Thesis),Acoite,Acoite Formation,Floian,NA,xml,True
CEGH_UNC_21212,Porterfieldia,Porterfieldia turneri,Waisfeld Vaccari 2003,Las Aguaditas creek,Las Aguaditas,Tremadocian,Katian,xml,True
CGP1A-208,Kozlowskiaspis,Kozlowskiaspis subcesiva,Kerber et al 2023,Chapada Group,Unit 2a Chapada Group,Emsian,Pragian,xml,True
CGP1A104,Pennaia,Pennaia pauliana,Kerber et al 2023,Chapada Group,Unit 2a Chapada Group,Emsian,Pragian,xml,True
CGP1A213,Bainella,Bainella sulmatogrossensis,Kerber et al 2023,Chapada Group,Unit 2a Chapada Group,Emsian,Pragian,xml,True
CM_45118,Elliptophillipsia,Elliptophillipsia rotundus,Brezinski 2000a,Boone County,Compton Limestone,Tournaisian,NA,xml,True
CM_45124,Richterella,Richterella hessleri,Brezinski 2000a,Marion County,Compton Limestone,Tournaisian,NA,xml,True
CM_45749,Ameropiltonia,Ameropiltonia perplexa,Brezinski 2000b,Indian Wells Canyon,Caballero,Tournaisian,NA,xml,True
CM_45764,Comptonaspis,Comptonaspis swallowi,Brezinski 2000b,Indian Wells Canyon,NA,lower Mississippian,NA,xml,True
CM_45766,Kollarcephalus,Kollarcephalus granatai,Brezinski 2000b,Sacramento Mountains,Caballero,Tournaisian,NA,xml,True
CORD-PZ_30510,Parabolina,ParaboliNA(Neoparabolina) frequens,Zeballo Tortello 2005,Alfarcito,Casa Colorada Formation,Furongian,NA,xml,True
CPBA_1002,Angelina,Angelina hyeronimi,Monti Confalonieri 2018,Tilcuya,NA,Stage 10,Tremadocian,xml,True
CPBA_1090,Beltella,Beltella ulrichi,Harrington Leanza 1957,Santa Victoria,Santa Victoria Formation,Tremadocian,NA,xml,True
CPBA_1195,Parabolinella,Parabolinella coelatifrons,Monti Confalonieri 2018,Iruya,NA,Stage 10,Tremadocian,xml,True
CPBA_1231,Parabolina (Neoparabolina),Parabolina (Neoparabolina) frequens,Harrington & Leanza 1957,Iruya,NA,Stage 10,Tremadocian,xml,True
CPBA_1689,Dolerasaphus,Dolerasaphus laevis,Harrington Leanza 1957,Quebrada del Barreal,formation unknown,Tremadocian,NA,xml,True
