specimen_id,coord_id,x,y
0,0,0.99973,0.0
0,1,0.81881,0.05151
0,2,0.70063,0.08851
0,3,0.61179,0.1167
0,4,0.53226,0.13666
0,5,0.47437,0.15413
0,6,0.4271,0.1691
0,7,0.38491,0.18113
0,8,0.35269,0.1939
0,9,0.32023,0.20323
0,10,0.29303,0.2129
0,11,0.26636,0.22035
0,12,0.24265,0.22786
0,13,0.21966,0.23392
0,14,0.19907,0.24063
0,15,0.17969,0.24732
0,16,0.16107,0.25381
0,17,0.14227,0.2588
0,18,0.1241,0.26372
0,19,0.1059,0.26748
0,20,0.08843,0.27217
0,21,0.07169,0.2792
0,22,0.05419,0.28407
0,23,0.03644,0.28841
0,24,0.01843,0.29286
0,25,0.0,0.29976
0,26,-0.01921,0.30538
0,27,-0.0394,0.3119
0,28,-0.06073,0.31835
0,29,-0.08344,0.32497
0,30,-0.10729,0.33021
0,31,-0.13438,0.3394
0,32,-0.1643,0.34915
0,33,-0.19894,0.36187
0,34,-0.23446,0.36945
0,35,-0.27732,0.3817
0,36,-0.32942,0.3982
0,37,-0.38702,0.41214
0,38,-0.46412,0.43584
0,39,-0.55889,0.46235
0,40,-0.68121,0.49493
0,41,-0.80086,0.50824
0,42,-0.93079,0.51171
0,43,-1.03158,0.48543
0,44,-1.11159,0.44011
0,45,-1.13416,0.36851
0,46,-1.12492,0.28883
0,47,-1.08468,0.20692
0,48,-1.02563,0.12957
0,49,-0.93459,0.0588
0,50,-0.83504,0.0
0,51,-0.73907,-0.0465
0,52,-0.66236,-0.08367
0,53,-0.594,-0.11331
0,54,-0.53546,-0.13748
0,55,-0.48074,-0.1562
0,56,-0.42815,-0.16952
0,57,-0.38798,-0.18257
0,58,-0.34947,-0.19212
0,59,-0.31649,-0.20085
0,60,-0.28463,-0.2068
0,61,-0.25968,-0.21482
0,62,-0.2355,-0.22115
0,63,-0.21301,-0.22683
0,64,-0.19222,-0.23235
0,65,-0.17209,-0.23686
0,66,-0.15304,-0.24115
0,67,-0.13473,-0.24508
0,68,-0.11715,-0.24895
0,69,-0.10038,-0.25354
0,70,-0.08386,-0.25809
0,71,-0.06718,-0.26165
0,72,-0.05073,-0.26591
0,73,-0.03406,-0.2696
0,74,-0.01722,-0.27366
0,75,0.0,-0.27665
0,76,0.0176,-0.27968
0,77,0.03584,-0.28373
0,78,0.05484,-0.2875
0,79,0.07495,-0.2919
0,80,0.09619,-0.29603
0,81,0.11865,-0.29967
0,82,0.14229,-0.30238
0,83,0.1674,-0.30451
0,84,0.19539,-0.30789
0,85,0.22554,-0.31043
0,86,0.25937,-0.31353
0,87,0.29547,-0.31464
0,88,0.33437,-0.314
0,89,0.37952,-0.31397
0,90,0.42962,-0.31214
0,91,0.4858,-0.3083
0,92,0.55065,-0.30273
0,93,0.615,-0.2894
0,94,0.67309,-0.2665
0,95,0.72743,-0.23636
0,96,0.76861,-0.19735
0,97,0.77254,-0.14737
0,98,0.94721,-0.11966
0,99,0.98675,-0.06208
1,0,0.9884,0.0
1,1,0.86231,0.05425
1,2,0.75124,0.0949
1,3,0.65762,0.12545
1,4,0.57455,0.14752
1,5,0.51443,0.16715
1,6,0.45794,0.18131
1,7,0.41627,0.19588
1,8,0.37568,0.20653
1,9,0.33769,0.21431
1,10,0.30355,0.22054
1,11,0.2772,0.22932
1,12,0.25195,0.2366
1,13,0.2294,0.24428
1,14,0.20726,0.25054
1,15,0.18533,0.25508
1,16,0.16366,0.25789
1,17,0.14562,0.26488
1,18,0.12767,0.27131
1,19,0.10956,0.27672
1,20,0.09137,0.28119
1,21,0.07344,0.28601
1,22,0.05525,0.2896
1,23,0.03756,0.2973
1,24,0.0191,0.30353
1,25,0.0,0.30897
1,26,-0.01973,0.31356
1,27,-0.04026,0.31872
1,28,-0.06208,0.32543
1,29,-0.08503,0.33116
1,30,-0.10982,0.338
1,31,-0.1373,0.34678
1,32,-0.1672,0.35532
1,33,-0.19963,0.36312
1,34,-0.23564,0.37131
1,35,-0.28053,0.38612
1,36,-0.33458,0.40444
1,37,-0.39651,0.42224
1,38,-0.47595,0.44695
1,39,-0.5734,0.47436
1,40,-0.6923,0.50299
1,41,-0.84608,0.53694
1,42,-0.98761,0.54295
1,43,-1.09022,0.51302
1,44,-1.15246,0.45629
1,45,-1.1714,0.38061
1,46,-1.1428,0.29342
1,47,-1.05762,0.20175
1,48,-0.96676,0.12213
1,49,-0.85692,0.05392
1,50,-0.7626,0.0
1,51,-0.68524,-0.04311
1,52,-0.61759,-0.07802
1,53,-0.55856,-0.10655
1,54,-0.51075,-0.13114
